school_id,course_id
S_BNU,C_course-v1:BNU+CSL21148501+2018_T2
S_BNU,C_course-v1:BNU+GE310141091+2019_T1
S_BNU,C_course-v1:BNU+2017112001X+2019_T1
S_BNU,C_course-v1:BNU+2018122603X+2018_T2
S_BNU,C_course-v1:BNU+CSL21126882+2019_T1
S_BNU,C_course-v1:BNU+0610073991+2019_T1
S_BNU,C_course-v1:BNU+1010070372+2019_T1
S_BNU,C_course-v1:BNU+2017053101X+2019_T1
S_BNU,C_course-v1:BNU+GE410081071-01+2019_T1
S_BNU,C_course-v1:BNU+2018122405X+2019_T1
S_BNU,C_course-v1:BNU+2018122602X+2019_T1
S_BNU,C_course-v1:BNU+2018091301X+2019_T1
S_BNU,C_course-v1:BNU+CHE21128011+2019_T1
S_BNU,C_course-v1:BNU+2018091302X+2019_T1
S_BNU,C_course-v1:BNU+2018091303X+2019_T1
S_BNU,C_course-v1:BNU+PHI2107404101+2019_T1
S_BNU,C_course-v1:BNU+0610073981+2019_T1
S_BNU,C_course-v1:BNU+0210021441+2019_T1
S_BNU,C_course-v1:BNU+2017071001X+2019_T1
S_BNU,C_course-v1:BNU+2018091305X+2019_T1
S_BNU,C_course-v1:BNU+2018011801X+2019_T1
S_BNU,C_course-v1:BNU+ENV13018+2019_T1
S_BNU,C_course-v1:BNU+2017001+2018_T2
S_BNU,C_course-v1:BNU+GOV21089621+2019_T1
S_BNU,C_course-v1:BNU+ENV21105101+2019_T1
S_BNU,C_course-v1:BNU+GE410081071-01+2017_T1
S_BNU,C_course-v1:BNU+2018122601X+2019_T1
S_BNU,C_course-v1:BNU+2017071001X+2017_sp
S_BNU,C_course-v1:BNU+0910042801+2019_T1
S_BNU,C_course-v1:BNU+2018091304X+2019_T1
S_BNU,C_course-v1:BNU+2017001+2019_T1
S_UQx,C_course-v1:UQx+Think101x+2019_T1
S_UQx,C_course-v1:UQx+Think101x+sp
S_UQx,C_course-v1:UQx+TROPIC101x+sp
S_UQx,C_course-v1:UQx+BIOIMG101x+sp
S_UQx,C_course-v1:UQx+Crime101x+sp
S_UESTC,C_course-v1:UESTC+2017071301X+sp
S_UESTC,C_course-v1:UESTC+E2216230+2018_T2
S_BIT,C_course-v1:BIT+PHY17016+sp
S_BIT,C_course-v1:BIT+PHY1701601+sp
S_BIT,C_course-v1:BIT+100070018+2019_T2
S_BIT,C_course-v1:BIT+PHY1701701+sp
S_BIT,C_course-v1:BIT+BIT2016001+sp
S_BIT,C_course-v1:BIT+100070018+2019_T1
S_BIT,C_course-v1:BIT+PHY1701702+sp
S_JNU,C_course-v1:JNU+2018012501X+sp
S_JNU,C_course-v1:JNU+077901mc08+2018_T3
S_JNU,C_course-v1:JNU+07009215+2019_T1
S_JNU,C_course-v1:JNU+03010100+sp
S_JNU,C_course-v1:JNU+07009188+2018_T2
S_JNU,C_course-v1:JNU+03010015+2019_T1
S_JNU,C_course-v1:JNU+20180722001+2019_T1
S_JNU,C_course-v1:JNU+07009215+sp
S_JNU,C_course-v1:JNU+11020009+2019_T1
S_JNU,C_course-v1:JNU+11022048+2019_T1
S_JNU,C_course-v1:JNU+07040146+2018_T1
S_TCIS,C_course-v1:TCIS+2019032101X+2019_T2
S_TCIS,C_course-v1:TCIS+2019032502X+2019_T2
S_TCIS,C_course-v1:TCIS+2019032501X+2019_T2
S_LUIBE,C_course-v1:LUIBE+2018030701+2019_T1
S_LUIBE,C_course-v1:LUIBE+201808064+2019_T1
S_LUIBE,C_course-v1:LUIBE+2018030701+sp
S_LUIBE,C_course-v1:LUIBE+2018080602+2019_T1
S_LUIBE,C_course-v1:LUIBE+2018080601+2019_T1
S_LUIBE,C_course-v1:LUIBE+201808063+2019_T1
S_HNU,C_course-v1:HNU+AR03015+2019_T1
S_HNU,C_course-v1:HNU+GE14068+2019_T1
S_HNU,C_course-v1:HNU+20180529001+2019_T1
S_HNU,C_course-v1:HNU+20180706002+2019_T1
S_HNU,C_course-v1:HNU+20180424001+2018_T1
S_rcoe,C_course-v1:TsinghuaX+MOOC101_2015_2+sp
S_rcoe,C_course-v1:rcoe+mooc103+2019_T1
S_TJU,C_course-v1:TJU+2010241X+sp
S_ZUEL,C_course-v1:ZUEL+2019012806X+2019_T1
S_ZUEL,C_course-v1:ZUEL+B0680090+sp
S_ZUEL,C_course-v1:ZUEL+20181108X+2019_T1
S_XJTU,C_course-v1:XJTU+2018122507X+2018_T2
